player.id,historical.id_ncaa,season.year_ncaa,team.id_ncaa,stat.games_ncaa,stat.gamesStart_ncaa,stat.minutes_ncaa,stat.fg_ncaa,stat.fga_ncaa,stat.fgPct_ncaa,stat.fg2_ncaa,stat.fg2a_ncaa,stat.fg2Pct_ncaa,stat.fg3_ncaa,stat.fg3a_ncaa,stat.fg3Pct_ncaa,stat.ft_ncaa,stat.fta_ncaa,stat.ftPct_ncaa,stat.orb_ncaa,stat.drb_ncaa,stat.trb_ncaa,stat.ast_ncaa,stat.stl_ncaa,stat.blk_ncaa,stat.tov_ncaa,stat.pf_ncaa,stat.pts_ncaa,stat.PERColl,stat.PERNBA,stat.collBrL,stat.collBrR,stat.collCornL,stat.collCornR,stat.collTop,stat.fiftBrL,stat.fiftBrR,stat.fiftCornL,stat.fiftCornR,stat.fiftTop,stat.drblCollBrL,stat.drblCollBrR,stat.drblCollTop,stat.drblFiftBrL,stat.drblFiftBrR,stat.drblFiftTop,stat.otmColl,stat.otmFift,stat.laneAgil,stat.shtlRun,stat.threeQuartSprint,stat.standVerLeap,verticalLeap,stat.benchPress,"stat,bodyFat",stat.handLen,stat.handWid,stat.ht,"stat,htShoe",stat.standReach,"stat,wt",wingspan,player.name,success
1761404.0,45566.5,2010.5,6494676.0,29.5,25.5,936.5,106.5,247.0,0.451,74.0,156.5,0.487,32.5,90.5,0.3535,58.5,85.5,0.6679999999999999,51.5,152.0,203.5,81.5,34.0,49.0,81.5,56.0,304.0,0.4548905301268129,0.28409090909090906,,,,,,,,,,,,,,,,,,,11.68,,3.07,30.0,37.0,,0.053,8.5,9.5,79.0,6' 8.25'',105.0,186.8,81.0,tyler honeycutt,0
1763133.0,70703.5,2013.5,9974760.0,30.5,30.5,1083.0,176.0,442.0,0.398,111.0,248.0,0.447,65.0,194.0,0.3345,105.5,148.5,0.7104999999999999,14.0,91.0,105.0,67.0,33.0,11.5,82.5,66.5,522.5,0.3197893059474949,0.1918423106947697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1776707.0,28521.0,2006.5,1356740.0,33.75,16.25,556.0,82.75,145.75,0.56175,82.75,145.75,0.56175,0.0,0.0,0.0,42.0,82.0,0.47725,52.25,79.25,131.5,11.0,12.5,37.5,26.75,76.0,207.5,0.4619697766164137,0.42105263157894735,,,,,,,,,,,,,,,,,,,12.06,,3.2,29.0,32.0,13.0,0.096,,,82.0,6' 10.75'',110.0,247.0,88.0,sasha kaun,0
1782482.0,111751.0,2018.0,9801604.0,34.666666666666664,33.666666666666664,1001.0,183.0,354.6666666666667,0.5136666666666666,173.0,320.3333333333333,0.5373333333333333,10.0,34.333333333333336,0.27366666666666667,167.0,220.33333333333334,0.75,85.66666666666667,140.33333333333334,226.0,73.0,29.666666666666668,53.333333333333336,73.0,110.33333333333333,543.0,0.6157158972040429,0.39104035382499536,0.6,0.6,0.6,0.6,0.2,,,,,,,,,0.75,0.75,0.5,,0.719,10.83,3.27,3.33,26.0,31.5,20.0,0.054,9.0,10.5,78.0,6' 7.5'',104.0,240.2,82.0,grant williams,0
1796496.0,112381.66666666667,2018.0,2501204.0,36.0,31.333333333333332,1060.0,211.33333333333334,512.6666666666666,0.41133333333333333,117.66666666666667,258.3333333333333,0.4533333333333333,93.66666666666667,254.33333333333334,0.367,123.66666666666667,151.33333333333334,0.8013333333333333,13.666666666666666,107.33333333333333,121.0,90.0,42.0,7.0,80.33333333333333,68.66666666666667,640.0,0.45088081708224975,0.2944426935437759,,,,,,0.6,0.4,1.0,0.8,0.6,,,,0.75,0.25,0.75,,0.88,11.59,3.15,3.2,28.5,34.5,12.0,0.063,8.5,9.25,71.0,6' 0'',94.0,195.6,78.0,carsen edwards,0
1811142.0,53600.75,2011.5,7305119.0,34.0,33.0,1236.0,147.5,355.75,0.4145,75.5,165.5,0.45075000000000004,72.0,190.25,0.37775000000000003,116.25,135.25,0.86,28.25,89.0,117.25,192.0,37.5,1.75,85.5,66.0,483.25,0.4197587402342366,0.3444195907085482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1815733.0,103679.5,2016.5,6194246.0,32.5,31.0,1095.5,160.5,380.5,0.42125,70.25,143.75,0.48824999999999996,90.25,236.75,0.38125,104.5,130.25,0.7975,20.0,75.5,95.5,48.0,16.25,2.5,49.25,52.5,515.75,0.34759277310963427,0.3188485988479428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1842650.0,21499.666666666668,2005.0,1325540.0,34.333333333333336,25.0,970.3333333333334,185.66666666666666,449.6666666666667,0.41033333333333327,105.66666666666667,229.0,0.4543333333333333,80.0,220.66666666666666,0.36233333333333334,84.33333333333333,115.33333333333333,0.7233333333333333,54.0,115.0,169.0,40.333333333333336,37.0,28.333333333333332,51.0,73.0,535.6666666666666,0.47720668657784443,0.35451967882676083,,,,,,,,,,,,,,,,,,,10.57,,3.06,32.0,38.5,10.0,0.053,,,77.0,6' 5.75'',103.0,204.0,82.0,rodney carney,0
1842830.0,16285.0,2004.0,1691683.0,13.0,12.0,306.0,43.0,96.0,0.448,43.0,96.0,0.448,0.0,0.0,0.0,51.0,76.0,0.671,29.0,64.0,93.0,20.0,7.0,11.0,32.0,42.0,137.0,0.5163398692810458,0.3058246398410333,,,,,,,,,,,,,,,,,,,12.65,,3.56,22.0,26.0,15.0,0.129,,,83.0,6' 11.75'',109.0,246.0,85.0,jared reiner,0
1864839.0,31697.0,2007.5,4858828.0,32.75,32.25,940.0,179.5,336.25,0.5325,179.5,336.0,0.533,0.0,0.25,0.0,92.25,150.75,0.6215,121.75,199.0,320.75,33.25,27.75,4.5,67.75,92.5,451.25,0.5834883405241214,0.3957198791651743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
